Item Code,Order Date,Ship Date,Customer Request Date,Sales Qty,Net Amount,Customer
SKU-001,2023-12-08,2023-12-10,2023-12-21,196.0,2035.03,CUST-015
SKU-009,2023-03-19,2023-03-21,2023-03-30,17.0,4007.55,CUST-018
SKU-003,2024-03-16,2024-03-18,2024-03-19,69.0,9040.32,CUST-002
SKU-006,2023-08-04,2023-08-06,2023-08-17,30.0,7911.1,CUST-014
SKU-010,2023-06-08,2023-06-10,2023-06-13,195.0,8202.33,CUST-014
SKU-001,2023-07-03,2023-07-06,2023-07-12,162.0,8708.61,CUST-008
SKU-005,2023-06-13,2023-06-14,2023-06-22,176.0,8656.64,CUST-008
SKU-004,2024-04-16,2024-04-19,2024-04-23,166.0,8777.57,CUST-008
SKU-001,2023-07-17,2023-07-21,2023-07-25,63.0,1159.5,CUST-009
SKU-006,2024-06-05,2024-06-09,2024-06-18,196.0,5594.05,CUST-001
SKU-002,2023-09-25,2023-09-27,2023-10-07,193.0,3021.93,CUST-004
SKU-010,2024-03-20,2024-03-23,2024-04-03,159.0,4645.74,CUST-017
SKU-002,2024-01-30,2024-02-04,2024-02-05,58.0,7233.46,CUST-001
SKU-004,2024-01-08,2024-01-12,2024-01-12,190.0,9247.32,CUST-020
SKU-006,2023-05-08,2023-05-11,2023-05-19,69.0,4379.73,CUST-013
SKU-005,2023-05-11,2023-05-13,2023-05-20,136.0,4101.88,CUST-006
SKU-010,2023-11-05,2023-11-09,2023-11-16,168.0,3386.81,CUST-007
SKU-007,2023-11-26,2023-11-30,2023-12-06,94.0,2530.16,CUST-016
SKU-003,2023-03-28,2023-03-31,2023-04-08,136.0,6382.98,CUST-003
SKU-004,2023-11-14,2023-11-16,2023-11-20,38.0,939.03,CUST-016
SKU-010,2023-03-16,2023-03-20,2023-03-25,178.0,5968.87,CUST-013
SKU-008,2024-02-14,2024-02-16,2024-02-19,135.0,552.68,CUST-004
SKU-007,2023-08-13,2023-08-15,2023-08-27,108.0,977.07,CUST-008
SKU-002,2024-04-12,2024-04-14,2024-04-22,137.0,9884.98,CUST-020
SKU-006,2024-03-29,2024-04-03,2024-04-12,179.0,4554.04,CUST-018
SKU-008,2023-06-12,2023-06-16,2023-06-22,59.0,2848.78,CUST-009
SKU-004,2023-10-09,2023-10-13,2023-10-13,146.0,2727.69,CUST-011
SKU-006,2023-03-24,2023-03-26,2023-03-29,54.0,7092.52,CUST-007
SKU-002,2024-02-29,2024-03-04,2024-03-08,113.0,4449.86,CUST-007
SKU-007,2024-02-03,2024-02-08,2024-02-17,14.0,8866.24,CUST-019
SKU-007,2024-05-03,2024-05-04,2024-05-11,67.0,4204.87,CUST-014
SKU-004,2024-05-14,2024-05-16,2024-05-21,93.0,775.74,CUST-011
SKU-007,2023-06-19,2023-06-23,2023-06-24,196.0,5574.17,CUST-013
SKU-010,2023-01-28,2023-01-29,2023-02-10,91.0,8735.09,CUST-006
SKU-001,2023-09-24,2023-09-28,2023-10-02,50.0,3605.04,CUST-013
SKU-005,2024-03-07,2024-03-10,2024-03-11,99.0,7615.73,CUST-002
SKU-006,2023-08-18,2023-08-19,2023-08-31,18.0,794.78,CUST-008
SKU-004,2023-01-21,2023-01-26,2023-01-26,55.0,4998.83,CUST-004
SKU-010,2023-08-12,2023-08-16,2023-08-26,59.0,4004.5,CUST-020
SKU-010,2023-04-28,2023-04-30,2023-05-05,31.0,743.95,CUST-010
SKU-010,2024-01-20,2024-01-24,2024-02-03,48.0,6124.93,CUST-008
SKU-002,2023-11-05,2023-11-10,2023-11-09,161.0,5876.36,CUST-002
SKU-006,2024-06-29,2024-07-03,2024-07-12,80.0,5306.63,CUST-011
SKU-001,2024-03-06,2024-03-10,2024-03-10,92.0,3940.79,CUST-015
SKU-003,2024-03-21,2024-03-23,2024-04-04,109.0,6679.35,CUST-020
SKU-008,2024-03-22,2024-03-27,2024-03-29,71.0,2832.2,CUST-003
SKU-005,2024-04-06,2024-04-08,2024-04-16,118.0,6847.79,CUST-011
SKU-001,2024-05-21,2024-05-24,2024-05-26,103.0,3870.84,CUST-009
SKU-006,2023-10-14,2023-10-19,2023-10-28,177.0,5780.01,CUST-017
SKU-004,2023-03-29,2023-03-31,2023-04-12,87.0,5774.17,CUST-008
SKU-008,2024-05-17,2024-05-21,2024-05-20,28.0,2605.17,CUST-008
SKU-005,2024-01-13,2024-01-17,2024-01-24,111.0,4542.29,CUST-018
SKU-006,2023-12-27,2023-12-31,2024-01-03,68.0,2690.11,CUST-007
SKU-006,2023-05-03,2023-05-08,2023-05-17,45.0,2555.65,CUST-016
SKU-005,2024-06-21,2024-06-26,2024-06-28,196.0,8409.97,CUST-010
SKU-004,2024-01-05,2024-01-07,2024-01-12,13.0,5574.28,CUST-009
SKU-001,2023-02-25,2023-03-02,2023-03-04,143.0,1699.66,CUST-016
SKU-002,2023-01-13,2023-01-18,2023-01-20,99.0,4684.45,CUST-006
SKU-001,2023-09-16,2023-09-20,2023-09-20,166.0,4306.72,CUST-003
SKU-010,2023-02-24,2023-02-26,2023-03-01,164.0,9516.69,CUST-003
SKU-004,2023-05-02,2023-05-07,2023-05-11,125.0,8012.04,CUST-008
SKU-008,2023-11-01,2023-11-06,2023-11-10,68.0,6399.76,CUST-020
SKU-002,2023-08-01,2023-08-03,2023-08-08,135.0,1992.04,CUST-006
SKU-009,2023-01-03,2023-01-07,2023-01-13,141.0,4964.17,CUST-002
SKU-004,2023-10-23,2023-10-26,2023-11-06,173.0,1176.21,CUST-008
SKU-005,2023-07-22,2023-07-26,2023-07-26,113.0,6652.53,CUST-009
SKU-003,2023-03-15,2023-03-16,2023-03-20,161.0,6152.92,CUST-019
SKU-005,2024-03-25,2024-03-26,2024-04-04,141.0,7147.47,CUST-009
SKU-008,2023-03-24,2023-03-29,2023-03-27,179.0,7478.07,CUST-020
SKU-005,2023-01-27,2023-01-28,2023-02-02,193.0,8441.61,CUST-019
SKU-010,2023-01-22,2023-01-25,2023-02-03,18.0,7684.55,CUST-016
SKU-005,2023-07-05,2023-07-10,2023-07-14,131.0,5171.4,CUST-003
SKU-008,2023-12-23,2023-12-27,2023-12-31,71.0,1493.7,CUST-006
SKU-006,2024-02-26,2024-03-01,2024-03-04,136.0,4304.3,CUST-018
SKU-001,2024-04-10,2024-04-11,2024-04-18,58.0,1601.26,CUST-013
SKU-001,2024-04-18,2024-04-22,2024-04-21,46.0,3936.9,CUST-016
SKU-008,2023-02-22,2023-02-24,2023-03-01,114.0,9312.89,CUST-015
SKU-008,2023-05-05,2023-05-06,2023-05-18,126.0,2773.33,CUST-006
SKU-005,2023-01-15,2023-01-20,2023-01-24,28.0,9926.44,CUST-004
SKU-008,2023-05-01,2023-05-03,2023-05-11,187.0,3272.68,CUST-009
SKU-007,2024-05-09,2024-05-13,2024-05-15,97.0,1874.1,CUST-007
SKU-010,2024-06-04,2024-06-06,2024-06-08,62.0,8005.06,CUST-014
SKU-006,2024-06-03,2024-06-06,2024-06-06,64.0,3336.28,CUST-019
SKU-010,2024-05-16,2024-05-18,2024-05-26,112.0,3778.68,CUST-018
SKU-006,2023-07-13,2023-07-15,2023-07-25,83.0,8632.12,CUST-014
SKU-001,2023-11-22,2023-11-26,2023-12-06,184.0,4121.7,CUST-005
SKU-008,2023-02-07,2023-02-09,2023-02-18,193.0,3653.95,CUST-004
SKU-008,2023-04-13,2023-04-18,2023-04-23,13.0,1869.48,CUST-005
SKU-002,2024-04-25,2024-04-28,2024-05-03,128.0,4276.09,CUST-003
SKU-006,2024-06-30,2024-07-04,2024-07-08,129.0,8930.67,CUST-016
SKU-009,2023-03-12,2023-03-14,2023-03-25,140.0,3230.1,CUST-008
SKU-002,2024-03-20,2024-03-21,2024-04-02,144.0,1454.82,CUST-006
SKU-005,2023-01-30,2023-01-31,2023-02-07,161.0,3286.99,CUST-012
SKU-007,2023-05-30,2023-06-01,2023-06-10,88.0,6977.1,CUST-006
SKU-003,2023-06-29,2023-06-30,2023-07-11,175.0,6387.25,CUST-008
SKU-008,2023-05-27,2023-05-29,2023-06-06,131.0,4865.92,CUST-001
SKU-008,2023-10-22,2023-10-27,2023-10-27,24.0,9479.74,CUST-019
SKU-005,2024-03-10,2024-03-13,2024-03-20,171.0,2392.56,CUST-013
SKU-008,2023-04-20,2023-04-22,2023-04-29,119.0,5960.71,CUST-010
SKU-001,2024-02-10,2024-02-13,2024-02-13,118.0,7015.1,CUST-002
SKU-010,2024-05-23,2024-05-26,2024-05-29,125.0,3847.05,CUST-007
SKU-010,2023-09-14,2023-09-16,2023-09-27,28.0,6460.85,CUST-002
SKU-005,2024-03-27,2024-03-28,2024-04-08,79.0,1748.41,CUST-010
SKU-006,2024-03-01,2024-03-03,2024-03-07,35.0,5624.37,CUST-012
SKU-005,2023-06-18,2023-06-21,2023-06-28,194.0,3303.84,CUST-011
SKU-002,2024-04-24,2024-04-25,2024-04-29,153.0,2643.34,CUST-013
SKU-007,2023-01-15,2023-01-18,2023-01-26,33.0,4001.56,CUST-009
SKU-010,2024-01-26,2024-01-29,2024-01-30,138.0,4979.03,CUST-020
SKU-010,2023-08-15,2023-08-16,2023-08-28,167.0,9139.18,CUST-010
SKU-007,2023-04-30,2023-05-02,2023-05-03,190.0,3391.46,CUST-016
SKU-002,2023-04-10,2023-04-12,2023-04-21,36.0,4809.62,CUST-018
SKU-007,2023-06-08,2023-06-12,2023-06-21,29.0,5148.8,CUST-014
SKU-005,2023-02-03,2023-02-06,2023-02-09,94.0,9530.27,CUST-012
SKU-002,2024-01-12,2024-01-17,2024-01-25,78.0,4282.33,CUST-007
SKU-002,2024-04-10,2024-04-11,2024-04-23,50.0,6575.18,CUST-001
SKU-001,2023-12-08,2023-12-10,2023-12-13,160.0,2449.45,CUST-018
SKU-004,2023-08-10,2023-08-12,2023-08-18,157.0,7992.12,CUST-020
SKU-001,2023-10-11,2023-10-13,2023-10-16,113.0,8085.88,CUST-004
SKU-001,2023-05-15,2023-05-16,2023-05-23,160.0,2760.35,CUST-011
SKU-001,2023-06-28,2023-07-01,2023-07-01,34.0,4499.13,CUST-004
SKU-002,2024-05-02,2024-05-06,2024-05-10,108.0,1536.01,CUST-017
SKU-004,2023-02-14,2023-02-19,2023-02-21,97.0,9658.25,CUST-002
SKU-008,2024-02-16,2024-02-20,2024-02-29,31.0,7267.81,CUST-015
SKU-002,2023-03-24,2023-03-27,2023-04-05,38.0,1698.82,CUST-020
SKU-010,2023-11-29,2023-12-03,2023-12-11,111.0,4810.3,CUST-020
SKU-007,2023-04-12,2023-04-13,2023-04-25,134.0,7805.15,CUST-007
SKU-007,2024-04-07,2024-04-09,2024-04-16,74.0,4808.24,CUST-014
SKU-002,2023-11-17,2023-11-21,2023-11-25,136.0,4055.86,CUST-005
SKU-008,2023-03-10,2023-03-11,2023-03-14,28.0,1417.36,CUST-012
SKU-003,2023-03-03,2023-03-08,2023-03-14,117.0,6865.13,CUST-014
SKU-006,2024-03-09,2024-03-10,2024-03-16,124.0,3840.64,CUST-019
SKU-008,2023-08-18,2023-08-19,2023-08-26,171.0,3991.83,CUST-009
SKU-010,2023-08-20,2023-08-24,2023-08-31,195.0,8275.06,CUST-020
SKU-009,2023-10-01,2023-10-02,2023-10-06,62.0,7742.89,CUST-011
SKU-006,2023-01-07,2023-01-09,2023-01-12,118.0,4307.45,CUST-005
SKU-001,2023-04-04,2023-04-09,2023-04-10,81.0,4809.64,CUST-006
SKU-006,2023-11-16,2023-11-19,2023-11-28,123.0,8891.75,CUST-005
SKU-003,2023-02-20,2023-02-21,2023-02-27,94.0,4528.14,CUST-020
SKU-008,2024-02-29,2024-03-03,2024-03-06,153.0,1581.27,CUST-014
SKU-002,2023-10-18,2023-10-23,2023-10-28,110.0,3429.98,CUST-008
SKU-007,2023-02-26,2023-02-27,2023-03-04,67.0,2506.72,CUST-005
SKU-005,2023-10-24,2023-10-27,2023-10-28,11.0,7596.63,CUST-006
SKU-003,2024-01-25,2024-01-30,2024-02-08,54.0,5807.87,CUST-012
SKU-002,2024-02-11,2024-02-12,2024-02-20,14.0,9251.04,CUST-011
SKU-010,2024-03-15,2024-03-20,2024-03-24,145.0,4468.09,CUST-004
SKU-007,2023-01-22,2023-01-25,2023-01-27,162.0,6372.19,CUST-012
SKU-002,2024-03-23,2024-03-24,2024-03-29,93.0,4304.27,CUST-003
SKU-007,2023-11-14,2023-11-17,2023-11-20,73.0,2097.26,CUST-017
SKU-002,2024-06-27,2024-07-02,2024-07-03,182.0,3819.07,CUST-005
SKU-004,2023-04-16,2023-04-18,2023-04-23,47.0,6222.79,CUST-003
SKU-003,2024-05-20,2024-05-24,2024-06-01,154.0,4764.6,CUST-019
SKU-010,2023-11-27,2023-11-30,2023-12-02,94.0,4954.75,CUST-010
SKU-005,2023-02-27,2023-03-02,2023-03-10,24.0,4886.55,CUST-002
SKU-001,2024-01-13,2024-01-16,2024-01-17,132.0,9785.0,CUST-003
SKU-010,2024-06-03,2024-06-07,2024-06-13,120.0,9565.2,CUST-002
SKU-008,2023-07-12,2023-07-15,2023-07-24,100.0,1933.18,CUST-002
SKU-008,2023-04-16,2023-04-19,2023-04-30,26.0,6638.21,CUST-002
SKU-004,2024-03-24,2024-03-28,2024-04-04,109.0,2008.09,CUST-012
SKU-005,2024-02-01,2024-02-05,2024-02-09,139.0,997.47,CUST-011
SKU-002,2023-12-04,2023-12-05,2023-12-15,139.0,3199.4,CUST-020
SKU-003,2023-12-08,2023-12-09,2023-12-20,136.0,9209.09,CUST-010
SKU-007,2023-05-13,2023-05-18,2023-05-27,188.0,3441.03,CUST-013
SKU-006,2023-05-11,2023-05-16,2023-05-15,133.0,4522.36,CUST-012
SKU-001,2024-01-07,2024-01-10,2024-01-12,191.0,3746.46,CUST-016
SKU-004,2023-08-20,2023-08-22,2023-08-25,25.0,8522.07,CUST-004
SKU-009,2023-12-11,2023-12-16,2023-12-16,123.0,1965.4,CUST-006
SKU-010,2023-06-19,2023-06-23,2023-06-22,88.0,6925.45,CUST-008
SKU-008,2023-10-19,2023-10-23,2023-10-25,111.0,3439.95,CUST-016
SKU-004,2024-01-12,2024-01-17,2024-01-22,98.0,3176.83,CUST-013
SKU-003,2023-07-24,2023-07-29,2023-07-29,176.0,995.71,CUST-016
SKU-006,2023-04-16,2023-04-21,2023-04-20,64.0,7749.61,CUST-009
SKU-008,2024-06-09,2024-06-11,2024-06-18,27.0,9149.8,CUST-015
SKU-006,2023-01-28,2023-02-01,2023-01-31,85.0,4052.63,CUST-013
SKU-002,2024-01-19,2024-01-21,2024-01-22,71.0,1441.29,CUST-011
SKU-003,2023-05-21,2023-05-22,2023-05-28,184.0,4988.32,CUST-005
SKU-008,2024-04-04,2024-04-09,2024-04-07,182.0,680.54,CUST-007
SKU-003,2024-06-24,2024-06-28,2024-06-28,157.0,2757.58,CUST-004
SKU-001,2023-09-02,2023-09-06,2023-09-15,161.0,4842.58,CUST-004
SKU-008,2023-01-17,2023-01-22,2023-01-29,56.0,1863.98,CUST-014
SKU-001,2023-12-28,2023-12-30,2024-01-09,89.0,6811.53,CUST-003
SKU-002,2024-06-22,2024-06-27,2024-07-03,159.0,5322.41,CUST-001
SKU-007,2024-04-26,2024-04-27,2024-05-09,84.0,4046.37,CUST-001
SKU-006,2023-03-11,2023-03-14,2023-03-17,149.0,6468.44,CUST-019
SKU-006,2023-05-17,2023-05-18,2023-05-25,114.0,8228.33,CUST-006
SKU-008,2024-05-05,2024-05-07,2024-05-10,22.0,7873.81,CUST-015
SKU-001,2023-10-28,2023-10-30,2023-10-31,160.0,8915.01,CUST-011
SKU-005,2024-06-11,2024-06-15,2024-06-22,100.0,847.9,CUST-007
SKU-005,2024-01-01,2024-01-02,2024-01-14,73.0,1682.51,CUST-012
SKU-007,2024-02-14,2024-02-18,2024-02-23,74.0,2274.76,CUST-016
SKU-006,2024-06-15,2024-06-18,2024-06-19,148.0,1249.81,CUST-020
SKU-003,2023-10-28,2023-10-31,2023-11-01,25.0,6778.73,CUST-010
SKU-008,2024-03-12,2024-03-14,2024-03-26,94.0,4747.73,CUST-012
SKU-010,2024-03-21,2024-03-24,2024-04-03,196.0,9505.09,CUST-003
SKU-007,2024-01-08,2024-01-13,2024-01-22,139.0,9551.5,CUST-005
SKU-010,2024-03-24,2024-03-25,2024-03-29,23.0,7895.9,CUST-012
SKU-006,2024-01-28,2024-02-02,2024-01-31,125.0,6951.09,CUST-012
SKU-006,2024-03-30,2024-03-31,2024-04-11,36.0,3986.02,CUST-011
SKU-005,2023-09-13,2023-09-14,2023-09-16,150.0,5240.92,CUST-013
SKU-009,2023-09-24,2023-09-28,2023-09-30,199.0,3212.98,CUST-016
SKU-004,2023-05-06,2023-05-08,2023-05-10,96.0,9037.45,CUST-015
SKU-002,2023-11-24,2023-11-27,2023-12-08,22.0,5650.63,CUST-010
SKU-003,2023-06-28,2023-07-01,2023-07-09,53.0,9858.76,CUST-005
SKU-004,2024-05-20,2024-05-21,2024-05-28,115.0,4004.66,CUST-018
SKU-003,2023-03-30,2023-03-31,2023-04-06,86.0,7310.87,CUST-016
SKU-007,2023-03-17,2023-03-19,2023-03-25,132.0,4774.76,CUST-017
SKU-006,2023-05-12,2023-05-17,2023-05-25,122.0,7793.93,CUST-005
SKU-007,2024-05-29,2024-05-30,2024-06-02,108.0,3389.18,CUST-006
SKU-006,2023-08-19,2023-08-22,2023-08-30,180.0,8536.37,CUST-009
SKU-004,2023-10-09,2023-10-11,2023-10-22,68.0,5568.04,CUST-017
SKU-003,2023-06-07,2023-06-09,2023-06-20,129.0,9069.01,CUST-011
SKU-010,2023-02-12,2023-02-13,2023-02-16,19.0,6593.81,CUST-019
SKU-005,2023-08-04,2023-08-09,2023-08-13,127.0,787.72,CUST-018
SKU-005,2023-11-06,2023-11-10,2023-11-12,163.0,7007.41,CUST-010
SKU-008,2023-03-16,2023-03-17,2023-03-21,94.0,5100.39,CUST-007
SKU-006,2023-05-28,2023-05-31,2023-06-11,71.0,9886.22,CUST-012
SKU-007,2023-05-14,2023-05-17,2023-05-25,117.0,3531.6,CUST-015
SKU-002,2023-10-01,2023-10-05,2023-10-07,37.0,980.75,CUST-013
SKU-010,2024-03-04,2024-03-06,2024-03-09,165.0,9370.64,CUST-011
SKU-004,2023-06-13,2023-06-17,2023-06-24,99.0,8851.22,CUST-016
SKU-001,2023-04-03,2023-04-07,2023-04-14,97.0,2786.92,CUST-019
SKU-006,2023-02-19,2023-02-20,2023-02-26,104.0,8882.23,CUST-016
SKU-005,2023-01-09,2023-01-10,2023-01-18,35.0,3012.49,CUST-012
SKU-007,2024-01-10,2024-01-11,2024-01-19,20.0,5837.26,CUST-012
SKU-007,2024-05-31,2024-06-04,2024-06-11,63.0,9896.36,CUST-020
SKU-002,2023-05-12,2023-05-13,2023-05-21,81.0,9874.48,CUST-018
SKU-006,2023-05-28,2023-05-30,2023-06-09,107.0,5250.74,CUST-002
SKU-001,2023-05-21,2023-05-24,2023-05-31,109.0,1914.94,CUST-017
SKU-003,2023-12-02,2023-12-07,2023-12-10,41.0,9910.85,CUST-010
SKU-010,2023-12-11,2023-12-16,2023-12-22,111.0,7233.03,CUST-010
SKU-008,2023-01-18,2023-01-21,2023-01-26,138.0,9809.03,CUST-019
SKU-005,2023-01-28,2023-02-02,2023-02-07,60.0,6728.11,CUST-019
SKU-010,2023-08-22,2023-08-23,2023-09-03,101.0,5480.21,CUST-020
SKU-007,2023-06-01,2023-06-03,2023-06-04,119.0,7154.95,CUST-007
SKU-001,2024-03-27,2024-03-30,2024-04-05,39.0,7059.75,CUST-014
SKU-008,2023-03-05,2023-03-07,2023-03-16,49.0,3587.97,CUST-016
SKU-003,2024-04-15,2024-04-20,2024-04-23,114.0,6920.75,CUST-009
SKU-010,2024-05-10,2024-05-12,2024-05-16,63.0,3335.74,CUST-010
SKU-005,2023-08-01,2023-08-05,2023-08-09,101.0,5824.63,CUST-009
SKU-005,2023-05-05,2023-05-10,2023-05-18,113.0,9009.72,CUST-013
SKU-006,2023-05-30,2023-06-02,2023-06-02,65.0,7284.34,CUST-012
SKU-008,2023-09-20,2023-09-24,2023-09-26,48.0,5616.49,CUST-018
SKU-005,2023-05-21,2023-05-22,2023-06-02,151.0,2773.18,CUST-002
SKU-004,2023-02-23,2023-02-24,2023-03-04,73.0,4987.84,CUST-005
SKU-001,2023-06-11,2023-06-15,2023-06-24,188.0,8844.8,CUST-016
SKU-004,2023-10-22,2023-10-25,2023-10-29,133.0,9125.4,CUST-003
SKU-010,2023-08-26,2023-08-31,2023-09-09,147.0,9398.36,CUST-006
SKU-007,2023-06-30,2023-07-01,2023-07-09,160.0,2269.96,CUST-010
SKU-001,2023-01-10,2023-01-13,2023-01-22,125.0,9320.32,CUST-011
SKU-005,2024-04-10,2024-04-15,2024-04-21,104.0,9416.32,CUST-017
SKU-008,2023-10-07,2023-10-09,2023-10-11,73.0,7445.63,CUST-009
SKU-003,2023-01-15,2023-01-18,2023-01-22,118.0,7694.19,CUST-006
SKU-010,2024-02-20,2024-02-24,2024-03-02,72.0,4307.92,CUST-004
SKU-003,2023-05-24,2023-05-28,2023-06-01,188.0,564.89,CUST-013
SKU-004,2024-04-02,2024-04-05,2024-04-10,67.0,7367.38,CUST-001
SKU-005,2024-01-04,2024-01-06,2024-01-07,137.0,4921.25,CUST-006
SKU-007,2024-05-29,2024-06-01,2024-06-12,32.0,9203.24,CUST-010
SKU-006,2023-08-15,2023-08-17,2023-08-20,101.0,4822.3,CUST-020
SKU-006,2024-03-01,2024-03-06,2024-03-11,154.0,8118.95,CUST-007
SKU-004,2023-03-25,2023-03-30,2023-04-04,110.0,3936.96,CUST-019
SKU-002,2023-03-05,2023-03-10,2023-03-16,48.0,5598.27,CUST-006
SKU-006,2024-06-16,2024-06-20,2024-06-20,139.0,7310.72,CUST-016
SKU-002,2024-06-06,2024-06-10,2024-06-09,96.0,5375.85,CUST-015
SKU-010,2023-03-01,2023-03-06,2023-03-11,138.0,3427.61,CUST-001
SKU-007,2023-09-18,2023-09-19,2023-10-02,51.0,1193.78,CUST-014
SKU-006,2023-03-07,2023-03-12,2023-03-10,188.0,1155.68,CUST-016
SKU-001,2023-10-21,2023-10-25,2023-10-26,156.0,7775.36,CUST-014
SKU-006,2024-01-27,2024-01-31,2024-02-05,81.0,6985.94,CUST-018
SKU-003,2023-12-23,2023-12-24,2023-12-28,199.0,4234.06,CUST-005
SKU-004,2023-01-04,2023-01-05,2023-01-11,98.0,7331.39,CUST-014
SKU-004,2023-09-11,2023-09-15,2023-09-19,39.0,2290.56,CUST-004
SKU-001,2024-03-05,2024-03-10,2024-03-08,56.0,1139.26,CUST-020
SKU-001,2024-04-02,2024-04-07,2024-04-15,144.0,962.43,CUST-002
SKU-007,2024-03-25,2024-03-27,2024-04-05,51.0,8705.44,CUST-002
SKU-003,2024-05-30,2024-06-02,2024-06-05,165.0,7449.42,CUST-011
SKU-010,2023-11-25,2023-11-27,2023-12-02,176.0,9864.11,CUST-017
SKU-004,2024-02-28,2024-03-02,2024-03-06,22.0,9510.94,CUST-006
SKU-007,2024-05-22,2024-05-23,2024-05-30,189.0,6877.75,CUST-017
SKU-006,2024-03-02,2024-03-06,2024-03-07,67.0,2246.85,CUST-018
SKU-008,2023-09-04,2023-09-06,2023-09-11,173.0,1871.34,CUST-015
SKU-001,2024-02-27,2024-03-02,2024-03-09,111.0,4189.98,CUST-009
SKU-004,2023-12-05,2023-12-06,2023-12-15,171.0,1378.41,CUST-007
SKU-001,2023-10-02,2023-10-06,2023-10-15,125.0,875.7,CUST-003
SKU-004,2023-08-11,2023-08-15,2023-08-17,175.0,3663.16,CUST-001
SKU-004,2023-07-14,2023-07-15,2023-07-28,200.0,5049.75,CUST-008
