Material,Sold To,Requested Delivery Date,Promise Date,Outstanding Qty,Remaining Amount,Order Number
SKU-008,CUST-012,2024-08-03,2024-08-15,34.0,2848.02,SO-33038
SKU-002,CUST-009,2024-08-28,2024-09-10,84.0,4478.23,SO-35746
SKU-005,CUST-003,2024-08-21,2024-09-01,12.0,289.43,SO-76476
SKU-001,CUST-019,2024-08-27,2024-09-05,43.0,3032.17,SO-14804
SKU-005,CUST-018,2024-08-09,2024-08-16,67.0,913.44,SO-61445
SKU-004,CUST-019,2024-08-24,2024-09-04,86.0,842.63,SO-75683
SKU-002,CUST-012,2024-07-31,2024-08-08,6.0,1346.63,SO-90482
SKU-003,CUST-017,2024-08-23,2024-08-25,47.0,1059.9,SO-84162
SKU-003,CUST-016,2024-08-22,2024-08-27,9.0,3855.07,SO-40375
SKU-002,CUST-012,2024-07-22,2024-07-25,9.0,1192.52,SO-57349
SKU-007,CUST-015,2024-08-05,2024-08-19,9.0,4906.83,SO-52476
SKU-002,CUST-017,2024-08-20,2024-08-30,84.0,4207.39,SO-44513
SKU-003,CUST-013,2024-07-30,2024-08-04,61.0,4511.49,SO-20202
SKU-005,CUST-008,2024-07-30,2024-08-07,44.0,4122.74,SO-55224
SKU-008,CUST-016,2024-08-25,2024-09-08,62.0,2608.82,SO-28214
