doc_type,field,required,type,role,unit,source_class,sap_candidate,sap_note,sf_database,sf_schema,sf_table,sf_column,grain_ok,refresh,as_of_supported,verdict,owner,notes
item_master,discontinued_date,,date,dimension,,ERP主数据,MARC-AUSDT,有效截止日——TODO P1 的 phase-out 日期就缺这个,,,,,,,,,,
item_master,planner_code,,string,dimension,,ERP主数据,MARC-DISPO,MRP 控制者,,,,,,,,,,
item_master,uom_raw,,string,dimension,,ERP主数据,MARA-MEINS,,,,,,,,,,,
open_po,sku,Y,string,identifier,,ERP事实,EKPO-MATNR,,,,,,,,,,,
open_po,location_id,,string,dimension,,ERP事实,EKPO-WERKS + LGORT,,,,,,,,,,,
open_po,supplier,,string,dimension,,ERP事实,EKKO-LIFNR,,,,,,,,,,,
open_po,po_number,,string,identifier,,ERP事实,EKKO-EBELN,,,,,,,,,,,
open_po,po_line_number,,string,identifier,,ERP事实,EKPO-EBELP,报表里显示成 Item,,,,,,,,,,
open_po,order_qty,,decimal,measure,base_uom,ERP事实,EKPO-MENGE,,,,,,,,,,,
open_po,delivered_qty,,decimal,measure,base_uom,派生,EKBE 汇总(BWART 101−102),,,,,,,,,,,
open_po,open_qty,Y,decimal,measure,base_uom,派生,派生 EKPO-MENGE − EKBE收货量,没有现成列；多数复制只给 MENGE，未交量要自己算,,,,,,,,,,
open_po,open_amount,,decimal,measure,currency,派生,派生,,,,,,,,,,,
open_po,unit_cost,,decimal,measure,currency_per_base_uom,ERP事实,EKPO-NETPR / EKPO-PEINH,不除价格单位 PEINH 会差 10/100/1000 倍,,,,,,,,,,
open_po,currency,,string,dimension,,ERP事实,EKKO-WAERS,,,,,,,,,,,
open_po,fx_rate,,decimal,measure,,ERP事实,EKKO-WKURS,,,,,,,,,,,
open_po,order_date,,date,timestamp,,ERP事实,EKKO-BEDAT,,,,,,,,,,,
open_po,committed_delivery,,date,timestamp,,ERP事实,EKET-EINDT,交期在计划行表 EKET，不在 EKPO——只复制 EKPO 会整列丢失,,,,,,,,,,
open_po,receive_date,,date,timestamp,,ERP事实,EKBE-BUDAT,,,,,,,,,,,
open_po,po_status_raw,,string,dimension,,ERP事实,EKPO-ELIKZ / LOEKZ,交货完成标记与删除标记；不过滤会把已关闭 PO 当在途,,,,,,,,,,
open_po,incoterm_raw,,string,dimension,,ERP事实,EKKO-INCO1 / INCO2,,,,,,,,,,,
open_po,transport_mode,,string,dimension,,派生,无标准字段,TODO 已明确不推断运输方式,,,,,,,,,,
open_so,sku,Y,string,identifier,,ERP事实,VBAP-MATNR,,,,,,,,,,,
open_so,location_id,,string,dimension,,ERP事实,VBAP-WERKS,,,,,,,,,,,
open_so,customer,,string,dimension,,ERP事实,VBAK-KUNNR,,,,,,,,,,,
open_so,so_line_number,,string,identifier,,ERP事实,VBAP-POSNR,,,,,,,,,,,
open_so,so_number,,string,identifier,,ERP事实,VBAK-VBELN,,,,,,,,,,,
open_so,open_qty,Y,decimal,measure,base_uom,ERP事实,VBBE-OMENG,未交量在 VBBE；VBAP-KWMENG 是订单量不是未交量,,,,,,,,,,
open_so,order_qty,,decimal,measure,base_uom,ERP事实,VBAP-KWMENG,,,,,,,,,,,
open_so,shipped_qty,,decimal,measure,base_uom,派生,派生 KWMENG-OMENG 或 LIPS 汇总,,,,,,,,,,,
open_so,open_amount,,decimal,measure,currency,派生,派生 OMENG*NETPR,,,,,,,,,,,
open_so,unit_price,,decimal,measure,currency_per_base_uom,ERP事实,VBAP-NETPR / KPEIN,除以价格单位 KPEIN,,,,,,,,,,
open_so,currency,,string,dimension,,ERP事实,VBAK-WAERK,,,,,,,,,,,
open_so,fx_rate,,decimal,measure,,ERP事实,VBAK-KURRF,,,,,,,,,,,
open_so,customer_request_date,Y,date,timestamp,,ERP事实,VBAK-VDATU / VBEP-EDATU,必需字段——先确认复制里有,,,,,,,,,,
open_so,promise_date,,date,timestamp,,ERP事实,VBEP-EDATU(确认行),计划行表,,,,,,,,,,
open_so,ship_date,,date,timestamp,,ERP事实,LIKP-WADAT,,,,,,,,,,,
open_so,order_date,,date,timestamp,,ERP事实,VBAK-AUDAT,,,,,,,,,,,
planning_master,sku,Y,string,identifier,,planner本地,—,planner 自己的工作表，不在 SAP 也不该进 Snowflake 事实层——这正是 override 表要装的东西,,,,,,,,,,
planning_master,description,,string,dimension,,planner本地,—,planner 自己的工作表，不在 SAP 也不该进 Snowflake 事实层——这正是 override 表要装的东西,,,,,,,,,,
planning_master,planner_safety_stock,,decimal,measure,base_uom,planner本地,—,planner 自己的工作表，不在 SAP 也不该进 Snowflake 事实层——这正是 override 表要装的东西,,,,,,,,,,
planning_master,planner_reorder_point,,decimal,measure,base_uom,planner本地,—,planner 自己的工作表，不在 SAP 也不该进 Snowflake 事实层——这正是 override 表要装的东西,,,,,,,,,,
planning_master,planner_min_qty,,decimal,measure,base_uom,planner本地,—,planner 自己的工作表，不在 SAP 也不该进 Snowflake 事实层——这正是 override 表要装的东西,,,,,,,,,,
planning_master,planner_max_qty,,decimal,measure,base_uom,planner本地,—,planner 自己的工作表，不在 SAP 也不该进 Snowflake 事实层——这正是 override 表要装的东西,,,,,,,,,,
planning_master,planner_lead_time_days,,decimal,measure,days,planner本地,—,planner 自己的工作表，不在 SAP 也不该进 Snowflake 事实层——这正是 override 表要装的东西,,,,,,,,,,
planning_master,planner_review_period_days,,decimal,measure,days,planner本地,—,planner 自己的工作表，不在 SAP 也不该进 Snowflake 事实层——这正是 override 表要装的东西,,,,,,,,,,
planning_master,planner_service_level,,decimal,measure,,planner本地,—,planner 自己的工作表，不在 SAP 也不该进 Snowflake 事实层——这正是 override 表要装的东西,,,,,,,,,,
planning_master,planner_min_order_qty,,decimal,measure,base_uom,planner本地,—,planner 自己的工作表，不在 SAP 也不该进 Snowflake 事实层——这正是 override 表要装的东西,,,,,,,,,,
planning_master,planner_order_multiple,,decimal,measure,base_uom,planner本地,—,planner 自己的工作表，不在 SAP 也不该进 Snowflake 事实层——这正是 override 表要装的东西,,,,,,,,,,
planning_master,planner_stocking_class,,string,dimension,,planner本地,—,planner 自己的工作表，不在 SAP 也不该进 Snowflake 事实层——这正是 override 表要装的东西,,,,,,,,,,
planning_master,planner_annual_demand,,decimal,measure,base_uom,planner本地,—,planner 自己的工作表，不在 SAP 也不该进 Snowflake 事实层——这正是 override 表要装的东西,,,,,,,,,,
planning_master,planner_monthly_demand,,decimal,measure,base_uom,planner本地,—,planner 自己的工作表，不在 SAP 也不该进 Snowflake 事实层——这正是 override 表要装的东西,,,,,,,,,,
planning_master,supplier,,string,dimension,,planner本地,—,planner 自己的工作表，不在 SAP 也不该进 Snowflake 事实层——这正是 override 表要装的东西,,,,,,,,,,
planning_master,unit_cost,,decimal,measure,currency_per_base_uom,planner本地,—,planner 自己的工作表，不在 SAP 也不该进 Snowflake 事实层——这正是 override 表要装的东西,,,,,,,,,,
planning_master,currency,,string,dimension,,planner本地,—,planner 自己的工作表，不在 SAP 也不该进 Snowflake 事实层——这正是 override 表要装的东西,,,,,,,,,,
planning_master,stocking_policy,,string,dimension,,planner本地,—,planner 自己的工作表，不在 SAP 也不该进 Snowflake 事实层——这正是 override 表要装的东西,,,,,,,,,,
planning_master,planner_notes,,string,dimension,,planner本地,—,planner 自己的工作表，不在 SAP 也不该进 Snowflake 事实层——这正是 override 表要装的东西,,,,,,,,,,
po_history,sku,Y,string,identifier,,ERP事实,EKPO-MATNR,,,,,,,,,,,
po_history,location_id,,string,dimension,,ERP事实,EKPO-WERKS,,,,,,,,,,,
po_history,supplier,Y,string,dimension,,ERP事实,EKKO-LIFNR,必需,,,,,,,,,,
po_history,po_number,,string,identifier,,ERP事实,EKKO-EBELN,,,,,,,,,,,
po_history,po_line_number,,string,identifier,,ERP事实,EKPO-EBELP,,,,,,,,,,,
po_history,po_date,Y,date,timestamp,,ERP事实,EKKO-BEDAT,必需,,,,,,,,,,
po_history,receive_date,,date,timestamp,,ERP事实,"EKBE-BUDAT (BEWTP='E', BWART=101)",必须扣 102 冲销；调拨/返工收货同为 101，要按 EKKO-BSART 区分——对应 TODO 里 lead time 混淆,,,,,,,,,,
po_history,lead_time_days,,decimal,measure,days,派生,派生 BUDAT−BEDAT,,,,,,,,,,,
po_history,po_qty,Y,decimal,measure,base_uom,ERP事实,EKPO-MENGE,必需,,,,,,,,,,
po_history,delivered_qty,,decimal,measure,base_uom,派生,EKBE-MENGE 汇总,,,,,,,,,,,
po_history,open_qty,,decimal,measure,base_uom,派生,派生,,,,,,,,,,,
po_history,po_amount,,decimal,measure,currency,派生,派生,,,,,,,,,,,
po_history,unit_cost,,decimal,measure,currency_per_base_uom,ERP事实,EKPO-NETPR / PEINH,同上，注意价格单位,,,,,,,,,,
po_history,currency,,string,dimension,,ERP事实,EKKO-WAERS,,,,,,,,,,,
po_history,fx_rate,,decimal,measure,,ERP事实,EKKO-WKURS,,,,,,,,,,,
po_history,freight_cost,,decimal,measure,currency,ERP事实,EKPO 条件 / KONV,运费在条件表，很少被复制,,,,,,,,,,
po_history,transport_mode,,string,dimension,,派生,无标准字段,,,,,,,,,,,
po_history,incoterm_raw,,string,dimension,,ERP事实,EKKO-INCO1,,,,,,,,,,,
po_history,moq,,decimal,measure,base_uom,ERP主数据,EINE / MARC-BSTMI,属于主数据，不属于历史,,,,,,,,,,
sales_history,sku,Y,string,identifier,,ERP事实,VBRP-MATNR / LIPS-MATNR,,,,,,,,,,,
sales_history,location_id,,string,dimension,,ERP事实,VBRP-WERKS + LGORT,缺了会把多个 DC 混成一个,,,,,,,,,,
sales_history,order_date,,date,timestamp,,ERP事实,VBAK-AUDAT,,,,,,,,,,,
sales_history,ship_date,,date,timestamp,,ERP事实,LIKP-WADAT_IST,实际过账发货日,,,,,,,,,,
sales_history,demand_date,Y,date,timestamp,,ERP事实,LIKP-WADAT_IST 或 VBAK-AUDAT,取实际发货日还是订单日会改变整条需求曲线——先定义再取数,,,,,,,,,,
sales_history,customer_request_date,,date,timestamp,,ERP事实,VBAK-VDATU,,,,,,,,,,,
sales_history,promise_date,,date,timestamp,,ERP事实,VBEP-EDATU,计划行表，不在 VBAP,,,,,,,,,,
sales_history,qty,Y,decimal,measure,base_uom,ERP事实,VBRP-FKIMG / LIPS-LFIMG,按销售单位 VRKME，需经 MARM 换算到基本单位 MEINS,,,,,,,,,,
sales_history,amount,,decimal,measure,currency,ERP事实,VBRP-NETWR,,,,,,,,,,,
sales_history,unit_price,,decimal,measure,currency_per_base_uom,派生,派生 NETWR/FKIMG,,,,,,,,,,,
sales_history,currency,,string,dimension,,ERP事实,VBRK-WAERK,,,,,,,,,,,
sales_history,fx_rate,,decimal,measure,,ERP事实,VBRK-KURRF,,,,,,,,,,,
sales_history,customer,,string,dimension,,ERP事实,VBRK-KUNAG / VBAK-KUNNR,售达方还是送达方要定死,,,,,,,,,,
sales_history,so_number,,string,identifier,,ERP事实,VBAK-VBELN / VBRP-AUBEL,,,,,,,,,,,
sales_history,so_line_number,,string,identifier,,ERP事实,VBAP-POSNR / VBRP-AUPOS,SAP 报表里显示成 Item——不是物料,,,,,,,,,,
sales_history,uom_raw,,string,dimension,,ERP事实,VBRP-VRKME,,,,,,,,,,,
substitution,old_sku,Y,string,identifier,,ERP主数据,MARC-MATNR,,,,,,,,,,,
substitution,new_sku,Y,string,identifier,,ERP主数据,MARC-NFMAT,,,,,,,,,,,
substitution,relation_raw,,string,dimension,,planner本地,无,supersede vs phase 的区分 SAP 不表达，必须人工声明,,,,,,,,,,
substitution,ratio,,decimal,measure,,planner本地,无,,,,,,,,,,,
substitution,effective_date,,date,dimension,,ERP主数据,MARC-AUSDT,,,,,,,,,,,
substitution,rationale,,string,dimension,,planner本地,无,,,,,,,,,,,
